blood_bank_name,area,blood_group,contact
Pulse Blood Bank,Nampally,B-,9756453787
Pulse Blood Bank,Nampally,A-,9756453787
Pulse Blood Bank,Nampally,AB-,9756453787
Pulse Blood Bank,Nampally,O-,9756453787
Pulse Blood Bank,Nampally,O+,9756453787
Starlight Blood Bank,Khairatabad,O+,9756453787
Starlight Blood Bank,Khairatabad,O-,9756453787
Starlight Blood Bank,Khairatabad,B+,9756453787
Starlight Blood Bank,Khairatabad,B-,9756453787
Vitality Blood Bank,Mehdipatnam,B+,9756453787
Vitality Blood Bank,Mehdipatnam,O+,9756453787
Vitality Blood Bank,Mehdipatnam,A+,9756453787
Vitality Blood Bank,Mehdipatnam,A-,9756453787
Vitality Blood Bank,Mehdipatnam,B-,9756453787
Vitality Blood Bank,Mehdipatnam,AB+,9756453787
Vitality Blood Bank,Mehdipatnam,AB+,9756453787
Red Cross Blood Bank,Dilsukhnagar,O+,9756453787
Red Cross Blood Bank,Dilsukhnagar,B+,9756453787
Red Cross Blood Bank,Dilsukhnagar,A+,9756453787
Red Cross Blood Bank,Dilsukhnagar,O-,9756453787
Red Cross Blood Bank,Dilsukhnagar,B-,9756453787
Beacon Blood Bank,Srinagar Colony,O+,9756453787
Beacon Blood Bank,Srinagar Colony,B-,9756453787
Beacon Blood Bank,Srinagar Colony,B+,9756453787
Beacon Blood Bank,Srinagar Colony,A-,9756453787
Beacon Blood Bank,Srinagar Colony,A+,9756453787
Beacon Blood Bank,Srinagar Colony,AB+,9756453787
Beacon Blood Bank,Srinagar Colony,AB-,9756453787
Beacon Blood Bank,Srinagar Colony,O-,9756453787
Serenity Blood Bank,Himayat Nagar,AB-,9756453787
Serenity Blood Bank,Himayat Nagar,O+,9756453787
Serenity Blood Bank,Himayat Nagar,O-,9756453787
Serenity Blood Bank,Himayat Nagar,A+,9756453787
Serenity Blood Bank,Himayat Nagar,B+,9756453787
Guardian Blood Bank,Malakpet,O+,9756453787
Guardian Blood Bank,Malakpet,B+,9756453787
Guardian Blood Bank,Malakpet,A+,9756453787
Guardian Blood Bank,Malakpet,AB+,9756453787
Guardian Blood Bank,Malakpet,B-,9756453787
Care Blood Bank,Nizampet,AB+,9756453787
Care Blood Bank,Nizampet,AB-,9756453787
Care Blood Bank,Nizampet,B+,9756453787
Care Blood Bank,Nizampet,O+,9756453787
Care Blood Bank,Nizampet,A+,9756453787
Care Blood Bank,Nizampet,B-,9756453787
Care Blood Bank,Nizampet,A-,9756453787
